Australia,1992,Summer,92
Australia,1996,Summer,156
Australia,2000,Summer,202
Australia,2004,Summer,198
Australia,2008,Summer,176
Australia,2012,Summer,147
Australia,2016,Summer,110
Australia,1992,Winter,4
Australia,1994,Winter,5
Australia,1998,Winter,4
Australia,2002,Winter,4
Australia,2006,Winter,4
Australia,2010,Winter,4
Australia,2014,Winter,4
China,1992,Summer,84
China,1996,Summer,114
China,2000,Summer,108
China,2004,Summer,144
China,2008,Summer,186
China,2012,Summer,152
China,2016,Summer,128
China,1992,Winter,4
China,1994,Winter,5
China,1998,Winter,13
China,2002,Winter,20
China,2006,Winter,18
China,2010,Winter,22
China,2014,Winter,20
France,1992,Summer,91
France,1996,Summer,75
France,2000,Summer,107
France,2004,Summer,94
France,2008,Summer,109
France,2012,Summer,121
France,2016,Summer,113
France,1992,Winter,18
France,1994,Winter,22
France,1998,Winter,29
France,2002,Winter,29
France,2006,Winter,27
France,2010,Winter,19
France,2014,Winter,23
South Korea,1992,Summer,65
South Korea,1996,Summer,84
South Korea,2000,Summer,98
South Korea,2004,Summer,69
South Korea,2008,Summer,92
South Korea,2012,Summer,75
South Korea,2016,Summer,40
South Korea,1992,Winter,7
South Korea,1994,Winter,8
South Korea,1998,Winter,10
South Korea,2002,Winter,8
South Korea,2006,Winter,12
South Korea,2010,Winter,13
South Korea,2014,Winter,13
USA,1992,Summer,231
USA,1996,Summer,280
USA,2000,Summer,279
USA,2004,Summer,285
USA,2008,Summer,313
USA,2012,Summer,268
USA,2016,Summer,249
USA,1992,Winter,23
USA,1994,Winter,29
USA,1998,Winter,65
USA,2002,Winter,93
USA,2006,Winter,84
USA,2010,Winter,102
USA,2014,Winter,83
