Australia,1992,Summer,187
Australia,1996,Summer,250
Australia,2000,Summer,341
Australia,2004,Summer,268
Australia,2008,Summer,233
Australia,2012,Summer,221
Australia,2016,Summer,208
Australia,1992,Winter,15
Australia,1994,Winter,18
Australia,1998,Winter,15
Australia,2002,Winter,13
Australia,2006,Winter,23
Australia,2010,Winter,20
Australia,2014,Winter,29
China,1992,Summer,145
China,1996,Summer,125
China,2000,Summer,110
China,2004,Summer,150
China,2008,Summer,327
China,2012,Summer,181
China,2016,Summer,166
China,1992,Winter,12
China,1994,Winter,7
China,1998,Winter,15
China,2002,Winter,21
China,2006,Winter,35
China,2010,Winter,30
China,2014,Winter,27
France,1992,Summer,241
France,1996,Summer,197
France,2000,Summer,211
France,2004,Summer,195
France,2008,Summer,188
France,2012,Summer,182
France,2016,Summer,225
France,1992,Winter,79
France,1994,Winter,68
France,1998,Winter,75
France,2002,Winter,87
France,2006,Winter,50
France,2010,Winter,67
France,2014,Winter,68
South Korea,1992,Summer,154
South Korea,1996,Summer,190
South Korea,2000,Summer,175
South Korea,2004,Summer,145
South Korea,2008,Summer,159
South Korea,2012,Summer,135
South Korea,2016,Summer,103
South Korea,1992,Winter,19
South Korea,1994,Winter,11
South Korea,1998,Winter,26
South Korea,2002,Winter,31
South Korea,2006,Winter,26
South Korea,2010,Winter,27
South Korea,2014,Winter,41
USA,1992,Summer,355
USA,1996,Summer,375
USA,2000,Summer,333
USA,2004,Summer,279
USA,2008,Summer,306
USA,2012,Summer,262
USA,2016,Summer,264
USA,1992,Winter,98
USA,1994,Winter,96
USA,1998,Winter,105
USA,2002,Winter,115
USA,2006,Winter,117
USA,2010,Winter,120
USA,2014,Winter,122
