Australia,1992,Summer,92
Australia,1996,Summer,167
Australia,2000,Summer,276
Australia,2004,Summer,202
Australia,2008,Summer,199
Australia,2012,Summer,184
Australia,2016,Summer,212
Australia,1992,Winter,7
Australia,1994,Winter,7
Australia,1998,Winter,8
Australia,2002,Winter,12
Australia,2006,Winter,17
Australia,2010,Winter,20
Australia,2014,Winter,31
China,1992,Summer,137
China,1996,Summer,192
China,2000,Summer,192
China,2004,Summer,265
China,2008,Summer,306
China,2012,Summer,235
China,2016,Summer,263
China,1992,Winter,20
China,1994,Winter,17
China,1998,Winter,42
China,2002,Winter,47
China,2006,Winter,39
China,2010,Winter,57
China,2014,Winter,36
France,1992,Summer,98
France,1996,Summer,102
France,2000,Summer,125
France,2004,Summer,113
France,2008,Summer,121
France,2012,Summer,142
France,2016,Summer,167
France,1992,Winter,30
France,1994,Winter,30
France,1998,Winter,31
France,2002,Winter,27
France,2006,Winter,32
France,2010,Winter,37
France,2014,Winter,39
South Korea,1992,Summer,72
South Korea,1996,Summer,113
South Korea,2000,Summer,106
South Korea,2004,Summer,119
South Korea,2008,Summer,106
South Korea,2012,Summer,115
South Korea,2016,Summer,104
South Korea,1992,Winter,4
South Korea,1994,Winter,10
South Korea,1998,Winter,11
South Korea,2002,Winter,15
South Korea,2006,Winter,14
South Korea,2010,Winter,18
South Korea,2014,Winter,30
USA,1992,Summer,190
USA,1996,Summer,273
USA,2000,Summer,253
USA,2004,Summer,254
USA,2008,Summer,282
USA,2012,Summer,268
USA,2016,Summer,291
USA,1992,Winter,50
USA,1994,Winter,52
USA,1998,Winter,81
USA,2002,Winter,87
USA,2006,Winter,87
USA,2010,Winter,92
USA,2014,Winter,100
