Albania,27,7,21,43
Algeria,24,35,17,30
American Samoa,26,3,23,28
Andorra,23,8,18,32
Angola,24,28,17,34
Antigua,26,13,20,38
Argentina,25,84,15,49
Aruba,28,5,23,32
Australia,25,279,14,47
Austria,26,102,16,49
Bahamas,25,14,19,37
Bahrain,25,10,20,31
Bangladesh,25,6,20,32
Barbados,27,17,19,61
Belgium,26,68,16,42
Belize,23,10,19,28
Benin,22,6,19,28
Bermuda,26,20,17,41
Bhutan,22,6,16,41
Boliva,25,13,18,36
Bosnia and Herzegovina,27,10,16,42
Botswana,28,6,25,30
Brazil,25,182,16,56
Bulgaria,24,138,15,42
Burkina Faso,26,4,20,34
Cameroon,23,8,19,27
Canada,26,295,15,50
Cayman Islands,29,10,17,42
Central African Republic,23,15,18,32
Chad,23,6,17,31
Chile,27,12,19,34
China,23,282,13,47
Colombia,24,49,17,41
Cook Islands,23,2,22,23
Costa Rica,28,16,19,43
Croatia,25,39,14,45
Cuba,25,176,16,50
Curacao,30,4,27,34
Cyprus,25,17,14,46
Czech Republic,25,208,16,49
Democratic Republic of the Congo,25,17,19,29
Denmark,25,110,17,46
Djibouti,26,8,21,35
Dominican Republic,23,32,16,29
Ecuador,25,13,15,45
Egypt,24,75,14,41
El Salvador,22,4,15,28
Equatorial Guinea,22,7,17,31
Estonia,24,37,18,35
Ethiopia,22,20,17,28
Fiji,25,18,16,56
Finland,26,88,16,56
France,26,339,13,47
Gabon,24,5,21,27
Gambia,25,5,22,32
Germany,25,463,14,52
Ghana,21,34,15,32
Greece,25,70,15,36
Grenada,21,4,18,27
Guam,25,22,15,40
Guatemala,20,14,15,32
Guinea,27,8,18,38
Guyana,23,6,18,34
Haiti,28,7,18,37
Honduras,24,10,18,36
Hungary,25,217,12,40
Iceland,27,27,18,62
India,24,52,18,38
Individual Olympic Athletes,24,58,15,39
Indonesia,23,42,18,32
Iran,25,36,20,37
Iraq,26,8,20,32
Ireland,27,58,19,42
Israel,24,30,15,41
Italy,25,304,15,50
Ivory Coast,23,13,19,29
Jamaica,24,36,16,32
Japan,24,256,13,45
Jordan,23,4,20,25
Kenya,26,49,15,38
Kuwait,22,32,18,36
Laos,26,6,22,33
Latvia,26,34,19,45
Lebanon,24,12,17,32
Lesotho,22,6,17,28
Libya,26,5,21,32
Liechtenstein,27,7,19,43
Lithuania,26,47,20,37
Luxembourg,34,6,23,51
Madagascar,23,13,14,28
Malawi,22,4,16,26
Malaysia,26,26,20,35
Maldives,22,7,17,28
Mali,24,5,19,29
Malta,27,6,19,32
Mauritania,26,6,24,30
Mauritius,20,13,15,26
Mexico,24,102,15,42
Monaco,23,2,19,26
Mongolia,25,33,17,35
Morocco,24,44,19,32
Mozambique,22,6,15,37
Myanmar,27,4,25,29
Namibia,23,6,17,28
Nepal,26,2,26,26
Netherlands,26,201,15,43
New Zealand,27,134,17,42
Nicaragua,25,8,20,31
Niger,25,3,25,25
Nigeria,22,55,15,32
North Korea,22,64,15,38
Norway,24,83,15,39
Oman,26,5,19,34
Pakistan,24,27,19,28
Panama,29,5,24,35
Papua New Guinea,24,13,19,37
Paraguay,20,27,16,25
Peru,26,16,16,37
Philippines,26,26,17,58
Poland,24,201,15,39
Portugal,25,90,15,46
Puerto Rico,26,71,17,50
Qatar,21,28,17,28
Republic of Congo,24,7,18,36
Romania,23,173,13,35
Russia,25,475,15,42
Rwanda,24,10,17,32
Saint Vincent,23,6,19,27
Samoa,24,5,19,30
San Marino,25,17,16,42
Saudi Arabia,24,9,16,30
Senegal,27,20,18,39
Seychelles,22,11,14,28
Sierra Leone,21,11,17,25
Singapore,27,14,13,43
Slovenia,24,35,18,31
Solomon Islands,28,1,28,28
South Africa,27,93,17,51
South Korea,22,226,15,36
Spain,25,422,11,50
Sri Lanka,24,11,17,32
Sudan,26,6,19,30
Suriname,22,6,17,27
Swaziland,22,6,19,24
Sweden,26,187,16,58
Switzerland,27,102,17,53
Syria,24,8,18,38
Taiwan,25,31,18,42
Tanzania,26,9,19,35
Thailand,23,46,14,41
Togo,24,6,21,29
Tonga,24,5,19,30
Trinidad,25,7,18,31
Tunisia,25,13,19,28
Turkey,24,41,16,35
Uganda,23,8,19,30
UK,26,371,15,48
United Arab Emirates,21,13,16,26
Uruguay,28,16,22,44
USA,26,545,14,54
Vanuatu,21,6,19,25
Venezuela,26,26,19,39
Vietnam,25,7,15,42
"Virgin Islands, British",35,4,20,62
"Virgin Islands, US",30,25,17,57
Yemen,20,8,15,28
Zambia,23,9,19,30
Zimbabwe,23,19,16,35
